uuid;timefrom;timeto;latitude;longitude;accuracy;speed;speedaccuracy;altitude;altitudeaccuracy;daypart;lastupdated
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 16:45;07.04.2020 16:46;59.918777;10.668957;16.002;1.129;0;1.8;6.5;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 16:46;07.04.2020 16:46;59.918653;10.668595;16.002;1.175;0;3.5;6.3;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 16:46;07.04.2020 16:46;59.918513;10.668032;6.001;1.36;0;2.9;7.5;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 16:46;07.04.2020 16:47;59.918455;10.667652;16.002;1.139;0;2.6;7;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 16:47;07.04.2020 16:47;59.918330;10.666968;16.002;0.83;0;2.1;7.2;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 16:47;07.04.2020 16:47;59.918246;10.666410;16.002;1.074;0;3.2;7.4;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 16:47;07.04.2020 16:48;59.918102;10.665902;16.002;1.073;0;3.7;6.7;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 16:48;07.04.2020 16:48;59.918054;10.665457;16.002;0.706;0;1.6;8.4;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 16:48;07.04.2020 16:48;59.918153;10.664909;16.002;0.785;0;3.4;10.5;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 16:48;07.04.2020 16:49;59.918092;10.664321;16.002;0.956;0;5.6;8.2;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 16:49;07.04.2020 16:49;59.918040;10.663916;16.002;0.238;0;6.8;7.2;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 16:49;07.04.2020 16:49;59.917914;10.663387;16.002;1.133;0;5.4;7.9;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 16:49;07.04.2020 16:50;59.917720;10.662612;6.001;1.075;0;4.5;7;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 16:50;07.04.2020 16:50;59.917629;10.662249;6.001;0.868;0;4.3;7.9;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 16:50;07.04.2020 16:50;59.917602;10.662037;6.001;0.483;0;4.5;7.9;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 16:50;07.04.2020 16:50;59.917553;10.661842;6.001;0.781;0;6.2;7.9;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 16:50;07.04.2020 16:51;59.917513;10.661618;6.001;0.742;0;6.1;8.2;98;08.04.2020 10:37
